CollectionName,CollectionTitle,CollectionType,WidgetId,WidgetTitle,WidgetName,WidgetPosition,WidgetInventoryType,PageName,PageId,PageTitle,SolrQuery,CreatedAt,UpdatedAt
search_collection_magicorderfood,,dynamic,71a95980-8d50-4404-9346-8a03168aee59,Get Food Home Delivered,Magic Order Food,-1,hw,default redeem,04e32b65-0964-4cc7-9379-19be032cad09,,"voucher/select?q=*&wt=json&facet=true&fq={!bbox}&indent=true&pt=[[LAT]],[[LON]]&sfield=latlon&d=10&fq=accepting_delivery:true&fq=enable_order_booking:true&fq=m_category_id:1&fq=magicpay_enabled:true&fq=-merchant_id:(1393739 OR 1393740 OR 1393741 OR 1193790 OR 1213873 OR 1213875 OR 1413748 OR 1413755)&fq=-parent_merchant_id:1094371",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
search_collection_giftyourlovedones,,dynamic,b7eecfb3-3bec-4769-87d4-6a15d80493fa,Gift Your Loved Ones the Latest Trends,search_collection_giftyourlovedones,-1,hw,default redeem,04e32b65-0964-4cc7-9379-19be032cad09,,"voucher/select?q=*&indent=true&wt=json&facet=true&fq={!bbox}&pt=[[LAT]],[[LON]]&sfield=latlon&d=10&fq=parent_merchant_id:(1847243 OR 319757 OR 1363525 OR 1355040 OR 1155972 OR 319758 OR 1273782 OR 1420881 OR 1946352 OR 1867714 OR 2225061 OR 319799 OR 346124 OR 1420083 OR 1145206 OR 1208414 OR 1273782 OR 319758 OR 1349899 OR 1145171 OR 1354528 OR 1145178 OR 1354498 OR 1840394 OR 1145188 OR 1809554 OR 319798 OR 1420222 OR 1354501 OR 2267010 OR 2267011 OR 1832776 OR 2267009 OR 319779 OR 1145173 OR 1145174 OR 1275232 OR 1420087 OR 2225061 OR 1946352 OR 1879922 OR 1163662 OR 1356521 OR 1145191 OR 1332997 OR 1145176 OR 319791)",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
search_collection_merchantpagecomplementarymerchants,,dynamic,07a346eb-07e2-4d51-aaab-5f693d04406d,People also bought,search_collection_merchantpagecomplementarymerchants,1,hw,merchant page magicorder tab,052ed92c-804d-4412-b1ee-53610aa021fe,,"voucher/select?q=*&wt=json&facet=true&fq={!bbox}&indent=true&pt=[[LAT]],[[LON]]&sfield=latlon&d=10&fq=NOT voucher_category:(""recharge"")&fq=accepting_delivery:true&fq=enable_order_booking:true&fq=magicpay_enabled:true",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
search_collection_merchantpagecompetitive,,dynamic,8f4f71da-4639-4617-92de-4630e9bbf6f6,More like this,search_collection_merchantpagecompetitive,2,hw,merchant page magicorder tab,052ed92c-804d-4412-b1ee-53610aa021fe,,"voucher/select?q=*&wt=json&facet=true&fq={!bbox}&indent=true&pt=[[LAT]],[[LON]]&sfield=latlon&d=10&fq=NOT voucher_category:(""recharge"")&fq=accepting_delivery:true&fq=enable_order_booking:true&fq=magicpay_enabled:true",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
search_collection_magicorderfood,,dynamic,71a95980-8d50-4404-9346-8a03168aee59,Get Food Home Delivered,Magic Order Food,3,hw,merchant page magicorder tab,052ed92c-804d-4412-b1ee-53610aa021fe,,"voucher/select?q=*&wt=json&facet=true&fq={!bbox}&indent=true&pt=[[LAT]],[[LON]]&sfield=latlon&d=10&fq=accepting_delivery:true&fq=enable_order_booking:true&fq=m_category_id:1&fq=magicpay_enabled:true&fq=-merchant_id:(1393739 OR 1393740 OR 1393741 OR 1193790 OR 1213873 OR 1213875 OR 1413748 OR 1413755)&fq=-parent_merchant_id:1094371",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
commerce_nuxorder,,static,26587e20-a404-4121-9fa4-d85f44fdec08,Your First Home-Delivery Comes With Mega Savings! ,commerce_nuxorder,1,ts,test2,05adc48a-2a4f-4e51-b54a-d25260be994b,Testing Page.,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
commerce_rajat_test,,static,dbccc26a-84c2-40ca-9f40-38f5df08359e,commerce_rajat_test,CSV test 1-click,2,ts,test2,05adc48a-2a4f-4e51-b54a-d25260be994b,Testing Page.,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
search_collection_mensgroomingsale,,dynamic,2f0db04b-86c4-4ffb-b9df-914964d7aebd,Exclusively for smart men!,search_collection_mensgroomingsale,-1,hw,Festive Fashion,06ded284-fddd-46a8-a618-dfc650408afd,Your Fashion Catalogue,voucher/select?q=*&indent=true&wt=json&facet=true&fq=merchant_id:(1107733 OR 1705849 OR 1144960 OR 2048537 OR 1412055 OR 2047856 OR 1168073),0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
search_collection_organicbeauty,,dynamic,3b69464b-f6ab-4802-be64-54444f81e284,Get Savings On Top Beauty Brands!,search_collection_organicbeauty,-1,hw,Festive Fashion,06ded284-fddd-46a8-a618-dfc650408afd,Your Fashion Catalogue,"voucher/select?q=*&wt=json&facet=true&fq={!bbox}&indent=true&pt=[[LAT]],[[LON]]&sfield=latlon&d=10&fq=redemption_option_id:(212934 OR 212609 OR 195153 OR 213948 OR 211715 OR 144249) OR merchant_id:(1313927 OR 1327823 OR 2058194 OR 1326127 OR 2002771 OR 1298731 OR 1300818 OR 1342322 OR 1300812 OR 2174588 OR 2184116 OR 1412055 OR 1168073 OR 1367657 OR 1180139 OR 2082209 OR 1947560 OR 2266939 OR 1413764 OR 2083440 OR 1123552 OR 1327842 OR 1346200 OR 2298599 OR 2264840 OR 2265716 OR 2264837) OR parent_merchant_id:(2265716 OR 2264840 OR 2264839 OR 2264841)",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
commerce_gcsFashionHBs,,static,71023b8b-e62e-4eb0-a149-45089d3cc8a3,Best of fashion brands!,commerce_gcsFashionHBs,1,large_rectangle_merchant,Festive Fashion,06ded284-fddd-46a8-a618-dfc650408afd,Your Fashion Catalogue,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
